krok;BME;PME;MT
0.1;0.0295732;0.0107327;0.00500814
0.05;0.0147269;0.00555807;0.00125051
0.025;0.00734953;0.00282942;0.000312532
0.0125;0.00367156;0.00142798;7.8127e-005
0.00625;0.00183497;0.000717259;1.95314e-005
0.003125;0.000917285;0.000359452;4.88282e-006
0.0015625;0.000458593;0.000179933;1.2207e-006
0.00078125;0.000229284;9.00183e-005;3.05176e-007
0.000390625;0.000114639;4.50221e-005;7.62939e-008
0.000195313;5.73187e-005;2.25143e-005;1.90735e-008
9.76563e-005;2.86592e-005;1.1258e-005;4.76837e-009
4.88281e-005;1.43295e-005;5.62918e-006;1.19209e-009
2.44141e-005;7.16475e-006;2.81464e-006;2.98023e-010
1.2207e-005;3.58237e-006;1.40733e-006;7.45057e-011
6.10352e-006;1.79119e-006;7.03669e-007;1.86264e-011
3.05176e-006;8.95596e-007;3.51836e-007;4.65672e-012
1.52588e-006;4.47791e-007;1.75919e-007;1.11288e-011
7.62939e-007;2.23886e-007;8.79584e-008;1.45809e-011
3.8147e-007;1.11971e-007;4.39752e-008;4.36848e-011
