t;Analityczne;MBE(stabline);MPE;MT
0;1;1;1;1
0.01;0.99995;1;1;1.00005
0.02;0.999803;0.9999;0.999901;1
0.03;0.999559;0.999703;0.999706;0.999852
0.04;0.999221;0.999411;0.999417;0.999608
0.05;0.998791;0.999025;0.999034;0.99927
0.06;0.99827;0.998547;0.998561;0.998839
0.07;0.997661;0.997979;0.997999;0.998318
0.08;0.996966;0.997323;0.997349;0.997709
0.09;0.996185;0.996581;0.996614;0.997013
0.1;0.995321;0.995754;0.995795;0.996232
0.11;0.994376;0.994845;0.994895;0.995368
0.12;0.993351;0.993855;0.993914;0.994422
0.13;0.992248;0.992786;0.992855;0.993397
0.14;0.991068;0.991639;0.991718;0.992294
0.15;0.989814;0.990416;0.990507;0.991114
0.16;0.988487;0.989119;0.989222;0.989859
0.17;0.987088;0.987749;0.987865;0.988532
0.18;0.985619;0.986308;0.986437;0.987132
0.19;0.984081;0.984798;0.98494;0.985663
0.2;0.982477;0.98322;0.983376;0.984125
0.21;0.980807;0.981575;0.981746;0.98252
0.22;0.979073;0.979865;0.980051;0.98085
0.23;0.977276;0.978091;0.978293;0.979116
0.24;0.975419;0.976256;0.976474;0.977319
0.25;0.973501;0.97436;0.974594;0.975461
0.26;0.971525;0.972404;0.972656;0.973543
0.27;0.969492;0.97039;0.97066;0.971567
0.28;0.967403;0.96832;0.968607;0.969533
0.29;0.96526;0.966195;0.9665;0.967444
0.3;0.963064;0.964016;0.96434;0.965301
0.31;0.960816;0.961784;0.962126;0.963104
0.32;0.958517;0.9595;0.959862;0.960856
0.33;0.956169;0.957167;0.957548;0.958557
0.34;0.953772;0.954784;0.955186;0.956208
0.35;0.951329;0.952354;0.952776;0.953812
0.36;0.94884;0.949878;0.950319;0.951368
0.37;0.946306;0.947356;0.947818;0.948878
0.38;0.943729;0.944789;0.945273;0.946344
0.39;0.941109;0.94218;0.942684;0.943767
0.4;0.938448;0.939529;0.940054;0.941147
0.41;0.935747;0.936837;0.937384;0.938486
0.42;0.933006;0.934105;0.934673;0.935784
0.43;0.930228;0.931334;0.931925;0.933043
0.44;0.927412;0.928526;0.929138;0.930265
0.45;0.924561;0.925681;0.926316;0.927449
0.46;0.921674;0.922801;0.923457;0.924597
0.47;0.918753;0.919885;0.920565;0.92171
0.48;0.915799;0.916937;0.917638;0.918789
0.49;0.912813;0.913955;0.914679;0.915835
0.5;0.909796;0.910942;0.911689;0.912848
0.51;0.906748;0.907898;0.908667;0.909831
0.52;0.903671;0.904824;0.905616;0.906783
0.53;0.900566;0.901721;0.902536;0.903705
0.54;0.897432;0.89859;0.899428;0.9006
0.55;0.894272;0.895431;0.896292;0.897466
0.56;0.891086;0.892246;0.89313;0.894306
0.57;0.887875;0.889036;0.889943;0.891119
0.58;0.884639;0.885801;0.886731;0.887908
0.59;0.88138;0.882542;0.883495;0.884672
0.6;0.878099;0.87926;0.880236;0.881413
0.61;0.874795;0.875955;0.876955;0.878131
0.62;0.87147;0.872629;0.873652;0.874827
0.63;0.868125;0.869282;0.870328;0.871502
0.64;0.86476;0.865915;0.866984;0.868156
