
-1 -2.77837 -2.47864 -1.43766 -2.92888 -1.46664 -1.30139 -3.60278 
-2 -4.77815 -4.47714 -2.4501 -4.92867 -2.453 -2.30103 -6.60207 
-3 -6.77815 -6.47712 -3.4514 -6.92867 -3.45169 -3.30103 -9.60202 
-4 -8.77815 -8.47712 -4.45153 -8.92864 -4.45156 -4.30103 -16.213 
-5 -10.7781 -10.4771 -5.45154 -10.855 -5.45155 -5.30103 -16.213 
-6 -12.7782 -12.4772 -6.45168 -10.2786 -6.45155 -6.30099 -16.213 
-7 -14.7785 -14.5074 -7.44603 -9.07804 -7.46678 -7.30138 -16.213 
-8 -1.#INF -1.#INF -8.51566 -8.51566 -8.51566 -16.213 -16.213 
-9 -1.#INF -1.#INF -7.43941 -7.71774 -7.12688 -16.213 -16.213 
-10 -1.#INF -1.#INF -6.03408 -6.43248 -6.73122 -16.213 -16.213 
-11 -1.#INF -1.#INF -5.2704 -6.73122 -5.24133 -16.213 -16.213 
-12 -1.#INF -1.#INF -5.24133 -5.24133 -5.24133 -16.213 -16.213 
-13 -1.#INF -1.#INF -3.97763 -3.97763 -3.97763 -16.213 -16.213 
-14 -1.#INF -1.#INF -2.46395 -2.67466 -2.11542 -16.213 -16.213 
-15 -1.#INF -1.#INF -1.1546 -1.83749 -1.3875 -16.213 -16.213 
-16 -1.#INF -1.#INF -0.39457 -0.81817 -0.150515 -16.213 -16.213 
-17 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -16.213 -16.213 
-18 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -16.213 -16.213 
-19 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -16.213 -16.213 
-20 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -16.213 -16.213 
