
-1 -2.77838 -2.47863 -1.43767 -2.92898 -1.46664 -1.30139 -3.60305 
-2 -4.77756 -4.47653 -2.45033 -4.85736 -2.45374 -2.30095 -5.68181 
-3 -6.92369 -6.32163 -3.50192 -4.88626 -3.46748 -3.32159 -4.335 
-4 -1.#INF -1.#INF -3.39748 -3.9897 -3.70858 -7.35941 -4.00038 
-5 -1.#INF -1.#INF -2.65984 -3.10146 -2.42344 -7.35941 -5.00381 
-6 -1.#INF -1.#INF -2.08889 -2.08889 -2.08889 -7.35941 -6.03949 
-7 -1.#INF -1.#INF -0.314271 -0.728244 -0.954441 -7.35941 -7.73374 
-8 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -7.66742 
-9 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -6.39753 
-10 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -5.35683 
-11 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -4.35296 
-12 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -3.35257 
-13 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -2.35253 
-14 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -1.35253 
-15 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 -0.35253 
-16 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 0.64747 
-17 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 1.64747 
-18 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 2.64747 
-19 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 3.64747 
-20 -1.#INF -1.#INF -0.150515 -0.150515 -0.150515 -7.35941 4.64747 
